stop_id,feature_type,feature_name
159,6000,Pavement at back door
159,6000,Schedule display
159,6000,Bench near stop
159,6000,Curb ramp near stop
159,6000,Pavement at front door
159,6000,Lighting at stop
159,6000,Shelter
159,6000,Sidewalk at stop
159,6000,Telephone near stop
160,6000,Pavement at back door
160,6000,Schedule display
160,6000,Pavement at front door
160,6000,Lighting at stop
162,6000,Pavement at back door
162,6000,Schedule display
162,6000,Bench near stop
162,6000,Curb ramp near stop
162,6000,Pavement at front door
162,6000,Lighting at stop
162,6000,Sidewalk at stop
162,6000,Telephone near stop
163,6000,Pavement at back door
163,6000,Schedule display
163,6000,Pavement at front door
163,6000,Lighting at stop
163,6000,Sidewalk at stop
163,6000,Bus request signal
164,6000,Pavement at back door
164,6000,Schedule display
164,6000,Curb ramp near stop
164,6000,Pavement at front door
164,6000,Lighting at stop
164,6000,Sidewalk at stop
165,6000,Pavement at back door
165,6000,Schedule display
165,6000,Bench near stop
165,6000,Curb ramp near stop
165,6000,Pavement at front door
165,6000,Lighting at stop
165,6000,Sidewalk at stop
165,6000,Telephone near stop
168,6000,Pavement at back door
168,6000,Schedule display
168,6000,Bench near stop
168,6000,Crosswalk near stop
168,6000,Curb ramp near stop
168,6000,Pavement at front door
168,6000,Lighting at stop
168,6000,Shelter
168,6000,Sidewalk at stop
168,6000,Garbage Can
168,6000,Telephone near stop
168,6000,Traffic signal
170,6000,Pavement at back door
170,6000,Schedule display
170,6000,Bench near stop
170,6000,Crosswalk near stop
170,6000,Curb ramp near stop
170,6000,Pavement at front door
170,6000,Lighting at stop
170,6000,Shelter
170,6000,Sidewalk at stop
170,6000,Traffic signal
172,6000,Pavement at back door
172,6000,Schedule display
172,6000,Schedule display
172,6000,Bench near stop
172,6000,Crosswalk near stop
172,6000,Curb ramp near stop
172,6000,Pavement at front door
172,6000,Lighting at stop
172,6000,Shelter
172,6000,Sidewalk at stop
172,6000,Telephone near stop
172,6000,Traffic signal
173,6000,Pavement at back door
173,6000,Schedule display
173,6000,Schedule display
173,6000,Bench near stop
173,6000,Crosswalk near stop
173,6000,Curb ramp near stop
173,6000,Pavement at front door
173,6000,Lighting at stop
173,6000,Lighting at stop
173,6000,Shelter
173,6000,Sidewalk at stop
173,6000,Garbage Can
173,6000,Traffic signal
174,6000,Pavement at back door
174,6000,Schedule display
174,6000,Bench near stop
174,6000,Crosswalk near stop
174,6000,Curb ramp near stop
174,6000,Pavement at front door
174,6000,Lighting at stop
174,6000,Shelter
174,6000,Sidewalk at stop
