from_stop_id,to_stop_id,transfer_type
2432,2434,0
2434,2432,0
2434,2434,0
2438,2434,0
2439,2434,0
2460,8119,0
2466,2467,0
2467,1519,0
2467,2466,0
2467,2467,0
2512,13128,0
2512,13135,0
2534,6633,0
2534,6634,0
2535,6633,0
2535,6634,0
2541,7690,0
2541,7691,0
2542,7690,0
2542,7691,0
2563,13128,0
2563,13135,0
2566,12375,0
2566,12382,0
2567,12375,0
2567,12382,0
2568,2568,0
2568,2573,0
2573,2568,0
2574,2574,0
2574,2575,0
2574,8894,0
2575,2574,0
2580,616,0
2580,2580,0
2580,7602,0
2580,7616,0
2580,7618,0
2580,10491,0
2592,1097,0
2592,2592,0
2592,8340,0
2592,8377,0
2592,11507,0
2592,11508,0
2592,11813,0
2592,11814,0
2592,11817,0
2594,2594,0
2594,13614,0
2594,13616,0
2599,2599,0
2599,3303,0
2599,3637,0
2599,6543,0
2599,6551,0
2599,6576,0
2599,6585,0
2625,7459,0
2625,7460,0
2626,7459,0
2626,7460,0
2642,2642,0
2672,2672,0
2672,8181,0
2672,9845,0
2672,9846,0
2672,9954,0
2672,9955,0
2672,9956,0
2685,2685,0
2703,6635,0
2703,6636,0
2705,2705,0
2705,6635,0
2705,6636,0
2714,7281,0
2714,7282,0
2715,7281,0
2715,7282,0
2726,7463,0
2726,7474,0
2727,7463,0
2727,7474,0
2738,7692,0
2738,7693,0
2739,7692,0
2739,7693,0
2746,1778,0
2746,10196,0
2747,1778,0
2747,10196,0
2748,1778,0
2762,7984,0
2762,7986,0
2763,7984,0
2763,7986,0
2817,7876,0
2817,7894,0
2818,7876,0
2818,7894,0
2838,2838,0
2908,2908,0
2908,2909,0
2909,2908,0
2909,2909,0
2914,8079,0
2914,8086,0
2915,8079,0
2915,8086,0
2945,2945,0
2945,11506,0
2945,11509,0
2945,11839,0
3008,3008,0
3008,8480,0
3008,11837,0
3039,3039,0
3039,3049,0
3039,7767,0
3039,13123,0
3049,1108,0
3049,3049,0
3049,6493,0
3049,10759,0
3049,10760,0
3049,10765,0
3051,10759,0
3051,10760,0
3052,1114,0
3052,3052,0
3052,12792,0
3054,1114,0
3054,10117,0
3054,10118,0
3054,12792,0
3079,3079,0
3080,3080,0
3082,3082,0
3092,3092,0
3092,3093,0
3093,3092,0
3093,3093,0
3094,13031,0
3127,1230,0
3127,3127,0
3138,3137,0
3138,3138,0
